ID,Name (EN) ,Name (AR) ,Barcode,Packing,PPT,Origin,Category,Variant,Country
123, MACARONI # 16 ,مكرونة # 16,617950300168, 20 X 450 G ,4.20, ITALY ,PASTA,MACARONI ,UNITED ARAB EMIRATES
124, MACARONI # 36 ,مكرونة # 36,617950300366, 20 X 450 G ,4.20, ITALY ,PASTA,MACARONI ,UNITED ARAB EMIRATES
125, VERMICELLI # 55 ,مكرونة # 55,617950300557, 20 X 450 G ,4.20, ITALY ,PASTA,MACARONI ,UNITED ARAB EMIRATES
126, MACARONI # 56 ,مكرونة # 56,617950300564, 20 X 450 G ,4.20, ITALY ,PASTA,MACARONI ,UNITED ARAB EMIRATES
127, MACARONI # 72 - 450GM ,مكرونة # 72 - 450 جم,617950300724, 20 X 450 G ,4.20, ITALY ,PASTA,MACARONI ,UNITED ARAB EMIRATES
128, MACARONI # 72 - 900GM ,مكرونة # 72 - 900 جم,617950300076,12 X 900 GM,7.55, ITALY ,PASTA,MACARONI ,UNITED ARAB EMIRATES
129, MACARONI # 81 ,مكرونة # 81,617950308102, 20 X 450 G ,4.20, ITALY ,PASTA,MACARONI ,UNITED ARAB EMIRATES
130, MACARONI # 82 ,مكرونة # 82,617950300823, 20 X 450 G ,4.20, ITALY ,PASTA,MACARONI ,UNITED ARAB EMIRATES
131, MACARONI # 83 ,مكرونة # 83,617950300434, 20 X 450 G ,, ITALY ,PASTA,MACARONI ,UNITED ARAB EMIRATES
132, MACARONI # 84 ,مكرونة # 84,617950300847, 20 X 450 G ,4.20, ITALY ,PASTA,MACARONI ,UNITED ARAB EMIRATES
133, MACARONI # 201 ,مكرونة # 201,617950302018, 20 X 450 G ,4.20, ITALY ,PASTA,MACARONI ,UNITED ARAB EMIRATES
134, MACARONI # 99 - 450GM ,مكرونة # 99 - 450 جم,617950300991, 20 X 450 G ,4.20, ITALY ,PASTA,MACARONI ,UNITED ARAB EMIRATES
135, MACARONI # 99 - 900GM ,مكرونة # 99 - 900 جم,617950305026,12 X 900 GM,7.55, ITALY ,PASTA,MACARONI ,UNITED ARAB EMIRATES
136, MACARONI #382 TRICOLOR FUSILI  ,مكرونة # 382 فوسيلى ملونة إيطالية,617950300465, 20 X 450 G ,6.75, ITALY ,PASTA,PASTA BOXES,UNITED ARAB EMIRATES
137, MACARONI #301 TRICOLOR FARFALLE  ,مكرونة # 301 فوسيلى ملونة إيطالية,617950300489, 20 X 450 G ,6.75, ITALY ,PASTA,PASTA BOXES,UNITED ARAB EMIRATES
138, MACARONI #127 TAGLIATELLE  ,مكرنة # 127 تالباتبلى إيطالية,617950300540, 20 X 450 G ,9.17, ITALY ,PASTA,PASTA BOXES,UNITED ARAB EMIRATES
139, MACARONI #327 TAGLIATELLE WITH SPINACH  ,مكرنة # 327 تالياتيلي إيطالية بالسبانخ ,617950300588, 20 X 450 G ,10.08, ITALY ,PASTA,PASTA BOXES,UNITED ARAB EMIRATES
140, SPAGHETTI #5 WHOLE WHEAT WITH OMEGA 3  ,إسباغيتي #5  بالقمح الأسمر مع أوميغا 3,617950300601, 20 X 450 G ,9.10, ITALY ,PASTA,PASTA BOXES,UNITED ARAB EMIRATES
141, MACARONI #82 WHOLE WHEAT WITH OMEGA 3  ,مكرونة #82 بالقمح الأسمر مع أوميغا ,617950300649, 20 X 450 G ,8.65, ITALY ,PASTA,PASTA BOXES,UNITED ARAB EMIRATES
142, MACARONI #99 WHOLE WHEAT WITH OMEGA 3  ,مكرونة #99 بالقمح الأسمر مع أوميغا ,617950300625, 20 X 450 G ,8.65, ITALY ,PASTA,PASTA BOXES,UNITED ARAB EMIRATES
143, MACARONI #900 LASAGNA  ,مكرونة # 900 لازانيا,617950300502, 20 X 450 G ,10.05, ITALY ,PASTA,PASTA BOXES,UNITED ARAB EMIRATES
144, MACARONI #901 LASAGNA WITH SPINACH  ,مكرونة # 901 لازانيا ايطلية بالسبانخ,617950300526, 20 X 450 G ,10.95, ITALY ,PASTA,PASTA BOXES,UNITED ARAB EMIRATES
145, ALBACORE TUNA SUNFLOWER OIL  ,لحم تونا الباكور بزيت دوار الشمس,617950141952,48 X 170 GM,8.50, THAILAND ,TUNA,ALBACORE ,UNITED ARAB EMIRATES
146, ALBACORE TUNA SUNFLOWER OIL  ,لحم تونا الباكور بزيت دوار الشمس,617950143857,48 X 85 GM,4.58, THAILAND ,TUNA,ALBACORE ,UNITED ARAB EMIRATES
147, ALBACORE TUNA IN WATER ,لحم تونا الباكور بالماء,617950143819,48 X 170 GM,8.50, THAILAND ,TUNA,ALBACORE ,UNITED ARAB EMIRATES
148, ALBACORE TUNA IN WATER ,لحم تونا الباكور بالماء,617950143833,48 X 85 GM,4.58, THAILAND ,TUNA,ALBACORE ,UNITED ARAB EMIRATES
